prompt,simplification1,simplification2,question,options,answer
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: In dem durch das Bundesministerium für Bildung und Forschung und mit Mitteln des europäischen Sozialfonds finanzierten und durch die Stiftung Zenit unterstützten Projekt incluMOVE können wir neue Wege des Lernens mittels eines augmentierten Arbeitsplatzes für Feinmontagen erproben.","Das Projekt incluMOVE wird mit Geld aus Deutschland und Europa unterstützt. Dabei geht es darum, neue Lernmethoden für die Arbeit an einem speziellen Arbeitsplatz zu testen.","Das Projekt incluMOVE wird von wichtigen Organisationen unterstützt. Es hilft uns, neue Wege des Lernens zu testen. Dabei nutzen wir spezielle Arbeitsplätze, um besser kleine Dinge zusammenzubauen.",1.592313272,1.619275216,pilot_capito_39307
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Die Wörter in Ihrer Vereinfachung sollten kurz, beschreibend, häufig verwendet, alltagsnah und im Kontext vertraut sein. Komplex: Denn das kindliche Grundbedürfnis nach elterlicher Liebe und Zuwendung kann nur über den aktiven Austausch und die liebevolle Anteilnahme der Eltern an den Interessen und Aktivitäten der Kinder befriedigt werden. Leicht:","Kinder brauchen Liebe und Zeit von ihren Eltern. Eltern sollen mit ihren Kindern reden und sich für das interessieren, was die Kinder mögen und machen. So fühlen sich Kinder glücklich.",Kinder brauchen Liebe von ihren Eltern. Eltern sollen mit ihren Kindern reden und spielen. So fühlen sich Kinder gut und glücklich.,1.340570699,1.369128389,pilot_capito_37273
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Halten Sie sich an die Richtlinien des Buches ""Leichte Sprache: das Regelbuch"" von Christiane Maaß aus dem Jahr 2015. Geben Sie Ihre Vereinfachung ohne weiteren Metakommentar an. Komplex: Behinderung im Sinne dieses Bundesgesetzes ist die Auswirkung einer nicht nur vorübergehenden körperlichen, geistigen oder psychischen Funktionsbeeinträchtigung oder Beeinträchtigung der Sinnesfunktionen, die geeignet ist, die Teilnahme am Arbeitsleben zu erschweren. Leicht:","Eine Behinderung ist, wenn jemand lange Zeit nicht gut sehen, hören, denken oder sich bewegen kann. Dadurch kann es schwer sein, eine Arbeit zu machen.","Eine Behinderung bedeutet, dass ein Mensch für längere Zeit körperliche, geistige oder seelische Probleme hat. Diese Probleme machen es schwerer, bei der Arbeit mitzumachen.",1.4045241,1.353350055,pilot_capito_20983
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Wobei zu beachten ist, dass die Regelung wonach eine Renovierung nicht notwendiger Weise den Barrierefreiheitsbestimmungen folgen muss und eine - umfassendere - Generalsanierung sehr wohl, auch auf Grund mangelnder Kontrolle, zu Umgehungsbauweisen führt : im Zweifelsfall ist es lediglich eine Renovierung. Leicht:","Man muss darauf achten, dass es eine Regel gibt: Bei einer Renovierung müssen nicht immer die Barrierefreiheitsregeln beachtet werden. Bei einer großen Sanierung schon. Oft wird das nicht genau kontrolliert. Deshalb sagen viele, dass sie nur renovieren, um die Regeln zu umgehen. Im Zweifel nennen sie es einfach eine Renovierung.","Es gibt eine Regel. Bei Renovierungen müssen die Barrierefreiheitsregeln nicht beachtet werden. Bei großen Sanierungen aber schon. Oft wird das nicht gut kontrolliert. Deshalb werden Regeln manchmal umgangen. Man sagt einfach, es ist nur eine Renovierung, auch wenn das nicht stimmt.",1.469745973,1.591973151,pilot_capito_20982
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Der in der Behindertenarbeit noch immer geläufige Begriff Beschäftigungstherapie unterstellt, dass die Arbeit, die von vielen Menschen mit Behinderung geleistet wird, eigentlich nur therapeutischen Charakter hat. Leicht:","Der Begriff Beschäftigungstherapie wird in der Behindertenarbeit oft benutzt. Er sagt, dass die Arbeit von Menschen mit Behinderung nur wie eine Therapie ist.","Der Begriff ""Beschäftigungstherapie"" wird in der Arbeit mit behinderten Menschen oft verwendet. Das Wort sagt, dass die Arbeit von Menschen mit Behinderung nur Therapie ist.",1.305598035,1.358842564,pilot_capito_4363
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Das Signal gibt der Tfzf mit der Tfz-Pfeife über Auftrag des Verschubleiters bzw. Leicht:,"Der Lokführer gibt ein Signal mit der Pfeife, weil es der Verschubleiter sagt.","Der Lokführer gibt ein Signal mit der Pfeife, weil der Verschubleiter es ihm sagt.",1.417100896,1.26508867,pilot_capito_61974
"Vereinfache den folgenden Satz auf Sprachniveau A2 ohne Ihre Vereinfachung zu erläutern oder voranzustellen: Sie gelten bei der Lebenshilfe in allen Bereichen : beim Wohnen, beim Arbeiten und in den mobilen Diensten.","Sie gelten bei der Lebenshilfe: beim Wohnen, Arbeiten und in mobilen Diensten.","Sie gelten bei der Lebenshilfe überall: beim Wohnen, Arbeiten und in mobilen Diensten.",1.387913934,1.186723659,pilot_capito_2502
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Ausnahmen davon bestehen nur dann, wenn wir aufgrund von gesetzlichen Bestimmungen zur Übermittlung, Auskunft oder Offenlegung ( z. B. gegenüber Aufsichts- und Kontrollbehörden ) verpflichtet sind, wenn wir im Rahmen unserer Leistungserbringung externe Dienstleister beiziehen oder wenn Sie uns Ihre Einwilligung dafür erklärt haben. Leicht:","Es gibt einige Ausnahmen. Wir geben Informationen weiter, wenn das Gesetz es verlangt. Zum Beispiel an Behörden. Wir arbeiten manchmal mit externen Dienstleistern zusammen und müssen ihnen Infos geben. Oder Sie haben uns erlaubt, Ihre Daten zu teilen.","Es gibt nur wenige Ausnahmen. Eine Ausnahme ist, wenn das Gesetz sagt, dass wir Informationen weitergeben müssen. Das gilt zum Beispiel für Aufsichtsbehörden. Eine andere Ausnahme ist, wenn wir externe Dienstleister brauchen, um unsere Arbeit zu machen. Auch wenn Sie uns die Erlaubnis geben, dürfen wir Informationen weitergeben.",1.602205849,1.333594337,pilot_capito_24971
"Vereinfache den folgenden Satz auf Sprachniveau A2: Das Komitee ist besorgt, dass die deutsche Übersetzung der Konvention die Bedeutung der Konvention nicht genau wiedergibt und Entscheidungen veranlassen könnte, die nicht im Einklang mit der Konvention stehen.","Das Komitee macht sich Sorgen, dass die deutsche Übersetzung der Konvention nicht genau ist und zu falschen Entscheidungen führen könnte.","Das Komitee denkt, dass die deutsche Übersetzung der Konvention falsch ist und Entscheidungen verursachen könnte, die nicht richtig sind.",1.130964472,1.569194699,pilot_capito_10316
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Und so wurden die alten Werte lediglich etwas modernisiert, in einen griffigen Slogan gebracht und als neues Leitbild angepriesen : Gestern, heute und morgen : Love & Peace. ","Die alten Werte wurden etwas geändert und in einen einfachen Satz verwandelt: Gestern, heute und morgen: Liebe und Frieden.","Die alten Werte wurden ein bisschen verändert und in einen einfachen Satz gepackt: Gestern, heute und morgen: Liebe und Frieden.",1.428786293,1.182226473,pilot_capito_55266
Vereinfache den folgenden Satz auf Sprachniveau A2 ohne Ihre Vereinfachung zu erläutern oder voranzustellen: Die First Step Das Socially Minded and Großbritanni Großbritannien Entwicklun Trust // SMaRT Responsible en g von business Trading ™ - ( SMaRT- ) Geschäftsmodell Arbeits- model befähigt First-Step-Trust und -Arbeitsmöglichkeiten für Beschäftig Menschen mit psychosozialen ungsmöglic Behinderungen oder mit anderen hkeiten Benachteiligungen zu entwickeln.,"Das SMaRT-Geschäftsmodell von First Step Trust hilft Menschen mit Behinderungen oder anderen Problemen, Arbeit zu finden.","Das First Step Trust SMaRT-Modell hilft, Arbeitsplätze für Menschen mit psychischen oder anderen Problemen zu schaffen.",1.274317605,1.471936989,pilot_capito_17606
Vereinfache den folgenden Satz auf Sprachniveau A2: US-Kriegs-Schiff soll eine iranische Drohne abgeschossen haben.,US-Schiff soll iranische Drohne abgeschossen haben.,US-Schiff hat angeblich eine iranische Drohne abgeschossen.,1.221139564,1.19723349,pilot_apa_1264
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Die Züge der Österreichischen Bundesbahnen (ÖBB) sind zurzeit nur halb so ausgelastet wie vor der Corona-Krise.",Die Züge in Österreich haben gerade nur halb so viele Passagiere wie vor Corona.,Die Züge der ÖBB haben jetzt weniger Passagiere als vor Corona.,1.688369077,1.413241595,pilot_apa_1147
