prompt,simplification1,simplification2,question,options,answer
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Durch das abgestimmte Zusammenspiel aller hier beschriebenen Maßnahmen entwickelt sich die GWW stets im Sinne der Anforderungen ihrer Internen Kunden, ist zukunftsfähig und wirtschaftlich gut aufgestellt und zuverlässiger Arbeitgeber. Leicht:","Durch die Zusammenarbeit aller Maßnahmen verbessert sich die GWW immer. Sie passt sich an die Wünsche ihrer Mitarbeiter an, ist gut für die Zukunft vorbereitet, verdient Geld und ist ein sicherer Arbeitgeber.",Die GWW arbeitet gut zusammen. Sie erfüllt die Wünsche ihrer Mitarbeiter:innen. Sie denkt an die Zukunft und ist sicher im Geschäft. Die GWW ist ein verlässlicher Arbeitgeber.,1.521534776,1.50730715,pilot_capito_41155
"Vereinfache den folgenden Satz auf Sprachniveau A2: Die Sicherstellung umfassender Beratung mit einem Fokus auf Selbsthilfe- bzw. Selbstvertretungsgruppen und Peer-Counseling ist hier ebenso ins Treffen zu führen wie der Ausbau von alternativen Unterstützungsdiensten, die eine Wahlmöglichkeit in Bezug auf Assistenz und Unterstützung vorsehen.","Wir bieten Beratung und Unterstützung an, besonders für Gruppen, die sich selbst helfen. Wir wollen auch mehr Möglichkeiten für Hilfe und Unterstützung schaffen.","Es ist wichtig, gute Beratung und Hilfe von Gruppen anzubieten. Auch andere Unterstützungsdienste sollen ausgebaut werden, damit man bei der Hilfe eine Wahl hat.",1.807471384,1.57024505,pilot_capito_26582
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Die Veröffentlichung des zwei Jahre alten Videos mit Heinz-Christian Strache und einer vermeintlichen russischen Oligarchennichte eine Woche vor dem Urnengang schlug nicht nur in Österreich ein, sie brachte auch rechtspopulistische Parteien in zahlreichen anderen EU-Staaten in die Defensive. Leicht:",Das zwei Jahre alte Video mit Heinz-Christian Strache und einer angeblichen russischen Oligarchennichte wurde eine Woche vor der Wahl veröffentlicht. Es sorgte in Österreich für Aufsehen. Auch rechtspopulistische Parteien in anderen EU-Ländern gerieten dadurch unter Druck.,Das zwei Jahre alte Video mit Heinz-Christian Strache und einer angeblichen russischen Oligarchennichte wurde eine Woche vor der Wahl veröffentlicht. Es sorgte nicht nur in Österreich für Aufregung. Auch rechtspopulistische Parteien in vielen anderen EU-Ländern gerieten dadurch in Schwierigkeiten.,1.157234335,1.149404846,pilot_capito_33766
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Im föderalen System der Bundesrepublik Deutschland teilen sich verschiedene Behörden von Bund und Ländern die Zuständigkeiten für Gewässer. Leicht:,In Deutschland kümmern sich verschiedene Stellen von Bund und Ländern gemeinsam um die Gewässer.,In Deutschland kümmern sich verschiedene Behörden von der Regierung und den Bundesländern um die Gewässer.,1.522335982,1.325927511,pilot_capito_16171
"Vereinfache den folgenden Satz auf Sprachniveau A2 ohne Ihre Vereinfachung zu erläutern oder voranzustellen: Die harten Bedingungen des Versailler Vertrages, politische Unruhen, der Ruhrkampf und schließlich die Hyper-Inflation bedeuteten für die junge Weimarer Republik schwere Belastungsproben.","Der Versailler Vertrag, Unruhen, der Ruhrkampf und die Hyperinflation waren große Probleme für die Weimarer Republik.","Der Versailler Vertrag, politische Probleme, der Ruhrkampf und die Hyperinflation waren große Schwierigkeiten für die Weimarer Republik.",1.152959843,1.192450963,pilot_capito_16935
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Satz oder die Sätze Ihrer Vereinfachung sollten kurz und von geringer Komplexität sein (durchschnittlich acht bis zehn Wörter pro Satz) und eine geringe Anzahl von Aussagen pro Satz enthalten. Komplex: Der Schulgarten Kagran bietet einen besonderen Service für Gehörlose an : Ein langjähriger Mitarbeiter der Wiener Stadtgärten und gehörloser Gärtner führt in Gebärdensprache durch die Themengärten des Schulgartens und vermittelt dabei Interessantes und Wissenswertes. Leicht:,Der Schulgarten Kagran hat ein besonderes Angebot. Ein gehörloser Gärtner führt in Gebärdensprache durch den Garten. Er zeigt die Themengärten und erklärt alles Wichtige.,Der Schulgarten Kagran hat ein Angebot für Gehörlose. Ein gehörloser Gärtner führt durch die Themengärten. Er spricht in Gebärdensprache. Dabei erzählt er spannende Dinge über die Gärten.,1.40643991,1.306725238,pilot_capito_34453
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Aber auch unsere tollen Geschichtenhefte von Max und Flocke die dir viele hilfreiche Tipps liefern die du auch für das Quiz nutzen kannst.",Unsere Hefte mit Geschichten von Max und Flocke geben dir gute Tipps. Du kannst sie für das Quiz benutzen.,Unsere tollen Hefte über Max und Flocke haben viele Tipps. Diese Tipps helfen dir beim Quiz.,1.403716876,1.427696871,pilot_capito_28075
"Vereinfache den folgenden Satz auf Sprachniveau A2: Unabhängig vom Alter ( vom schulpflichtigen Kind bis zu erwachsenen und älteren Personen ) hat eine - relativ kleine - Anzahl von Personen einen besonders hohen Bedarf an personellen, strukturellen und räumlichen Ressourcen, dem mit den bestehenden Angeboten nicht adäquat entsprochen werden kann.","Egal wie alt man ist, manche Menschen brauchen besonders viel Hilfe und Unterstützung. Die vorhandenen Angebote reichen dafür nicht aus.","Egal wie alt jemand ist, manche Menschen brauchen mehr Hilfe und Unterstützung als andere. Die vorhandenen Angebote reichen dafür nicht aus.",1.357718084,1.269926846,pilot_capito_26624
"Vereinfache den folgenden Satz auf Sprachniveau A2: Hauptziel : • Die Kinder- und Jugendarbeit vor Ort ist zentrales Element des JRK und wird als solches besonders unterstützt, sodass dort bestmögliche Arbeit im Sinne der Kinder und Jugendlichen stattfinden kann.","Das Hauptziel ist, die Arbeit mit Kindern und Jugendlichen vor Ort zu fördern. Das JRK unterstützt dies besonders, damit gute Arbeit für die Kinder und Jugendlichen möglich ist.","Hauptziel: • Die Arbeit mit Kindern und Jugendlichen ist sehr wichtig für das JRK und wird besonders unterstützt, damit dort gute Arbeit gemacht werden kann.",1.425761267,1.353557179,pilot_capito_57818
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Inhalte Planungsphase : In Zusammenarbeit mit der Fachabteilung Energie und Wohnbau, Fachbereich Bautechnik und Gestaltung, sowie Institutionen, die schon Erfahrung bei Sensibilisierungsworkshops haben, werden Inhalte und Ziele von bewusstseinsbildenden Schulungsmaßnahmen im Bereich der Barrierefreiheit für amtliche und nichtamtliche Bausachverständige erarbeitet. Leicht:","Planung: Expertinnen und Experten aus den Bereichen Energie, Wohnbau und Bautechnik arbeiten zusammen. Sie planen Workshops über Barrierefreiheit. Diese Workshops sind für Personen, die sich mit Bauen beschäftigen. Ziel ist es, mehr Wissen über Barrierefreiheit zu vermitteln.","In der Planungsphase arbeiten wir mit verschiedenen Fachabteilungen zusammen. Dazu gehören die Abteilung für Energie und Wohnbau, der Bereich Bautechnik und Gestaltung und andere Institutionen. Diese Institutionen haben Erfahrung mit Workshops zur Sensibilisierung. Gemeinsam erarbeiten wir Inhalte und Ziele für Schulungen über Barrierefreiheit. Diese Schulungen sind für Bausachverständige, die im Amt oder privat arbeiten.",1.611643255,1.431206519,pilot_capito_16135
Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Eine andere Möglichkeit kann die Kupferspirale zur Notfallverhütung sein ( lesen Sie mehr dazu unter Gibt es noch andere Möglichkeiten der Notfallverhütung? ,"Eine andere Möglichkeit ist die Kupferspirale. Sie kann helfen, wenn man schnell eine Verhütung braucht. Mehr dazu können Sie unter ""Gibt es noch andere Möglichkeiten der Notfallverhütung?"" lesen.","Die Kupferspirale kann auch als Notfallverhütung benutzt werden. Du kannst mehr darüber lesen, wenn du auf ""Gibt es noch andere Möglichkeiten der Notfallverhütung?"" klickst.",1.316702239,1.289650592,pilot_capito_39378
Vereinfache den folgenden Satz auf Sprachniveau A2: Sie werden jedes Jahr in der Stadt Los Angeles in den USA verliehen.,"Jedes Jahr gibt es sie in Los Angeles, USA.","Sie werden jedes Jahr in Los Angeles, USA, vergeben.",1.082072827,1.225416969,pilot_apa_3638
"Formulieren Sie den komplexen Satz um, indem Sie mindestens einen neuen einfachen Satz bilden. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Behalten Sie die gleiche Bedeutung des Ausgangssatzes bei. Bitte geben Sie ausschliesslich den vereinfachten Satz an, ohne zusätzliche Informationen. Komplex: Darüber hinaus berät es über die Möglichkeiten der Freizeitgestaltung in Erlangen und hält zahlreiche Informationsmaterialien über das lokale Kultur- und Freizeitangebot bereit. Leicht:",Es berät über Freizeitmöglichkeiten in Erlangen. Es hat viele Informationen über Kultur und Freizeit vor Ort.,Es berät über Freizeitmöglichkeiten in Erlangen. Es hat viele Informationsmaterialien über das lokale Kultur- und Freizeitangebot.,1.246658844,1.212528907,pilot_capito_35172
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Die Wörter in Ihrer Vereinfachung sollten kurz, beschreibend, häufig verwendet, alltagsnah und im Kontext vertraut sein. Komplex: Scheiflinger im Rahmen von Sprechtagen und Hausbesuchen beinhaltet, sind persönliche Kontakt im Rahmen von Messen und Vorträgen ( gemeint sind hier nicht die Besucherzahlen, sondern das persönliche Ansprechen von Frau Mag. Scheiflinger beispielsweise nach einem Vortrag ) in der Prozentzahl der sonstigen Kontaktaufnahmen erfasst. Leicht:","Frau Mag. Scheiflinger trifft Menschen bei besonderen Treffen und Besuchen zu Hause. Sie spricht auch mit Leuten bei Messen und Vorträgen. Diese persönlichen Gespräche zählen zu den anderen Kontakten, die sie hat.","Bei den Sprechtagen und Besuchen zu Hause spricht Frau Mag. Scheiflinger mit Menschen. Sie redet auch mit Leuten auf Messen und nach Vorträgen. Diese Gespräche zählen zu den anderen Kontakten, die man in Prozenten misst.",1.507895784,1.59701865,pilot_capito_10349
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Aus Sicht der Anwaltschaft für Menschen mit Behinderung werden hier ganz klar die Vorgaben der UN-BRK deutlich verletzt, weswegen die Anwaltschaft für Menschen mit Behinderung dringend eine gesetzliche Reglung hinsichtlich einer fairen und gerechten Bezahlung von Menschen mit Behinderung in Tagesstrukturen empfiehlt. Leicht:","Die Anwaltschaft für Menschen mit Behinderung sagt: Die Regeln der UN-BRK werden hier gebrochen. Deshalb fordert sie ein Gesetz. Dieses Gesetz soll sicherstellen, dass Menschen mit Behinderung in Tagesstrukturen fair bezahlt werden.","Die Anwaltschaft für Menschen mit Behinderung sagt: Die Regeln der UN für Menschen mit Behinderung werden hier nicht beachtet. Darum will die Anwaltschaft, dass es ein Gesetz gibt. Dieses Gesetz soll dafür sorgen, dass Menschen mit Behinderung in Tagesstrukturen fair bezahlt werden.",1.291485517,1.260660628,pilot_capito_6529
