prompt,simplification1,simplification2,question,options,answer
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Die österreichische Stadt Salzburg ist weltweit die beste Stadt zum Bereisen im kommenden Jahr. Leicht:",Die österreichische Stadt Salzburg ist die beste Stadt für Reisen im nächsten Jahr. Viele Menschen auf der Welt wollen dorthin reisen.,"Die Stadt Salzburg in Österreich ist die beste Stadt, um sie im nächsten Jahr zu besuchen.",1.515508592,1.322200028,pilot_apa_2725
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Satz oder die Sätze Ihrer Vereinfachung sollten kurz und von geringer Komplexität sein (durchschnittlich acht bis zehn Wörter pro Satz) und eine geringe Anzahl von Aussagen pro Satz enthalten. Komplex: Der Ausschuss ist sich der Notwendigkeit, die Opfer der Gewalt von Menschen, die in einer Maßnahme angehalten werden, entsprechend zu schützen, bewusst. Leicht:","Der Ausschuss weiß, dass man Opfer von Gewalt schützen muss.","Der Ausschuss weiß, dass man die Opfer schützen muss. Sie sind Opfer von Gewalt in Einrichtungen.",1.203734692,1.721655615,pilot_capito_41606
"Formulieren Sie den komplexen Satz um, indem Sie mindestens einen neuen einfachen Satz bilden. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Behalten Sie die gleiche Bedeutung des Ausgangssatzes bei. Bitte geben Sie ausschliesslich den vereinfachten Satz an, ohne zusätzliche Informationen. Komplex: Gebärdensprachdolmetscher oder alternativ von einer Vertrauensperson ( zum Beispiel Sozialarbeiter ), welche mit der Gebärdensprache vertraut ist, begleitet werden möchte. Leicht:","Man möchte von einem Gebärdensprachdolmetscher begleitet werden. Alternativ kann auch eine Vertrauensperson, wie zum Beispiel ein Sozialarbeiter, begleiten. Diese Person muss die Gebärdensprache kennen.","Man möchte von einem Gebärdensprachdolmetscher begleitet werden. Alternativ kann eine vertraute Person helfen, die Gebärdensprache kennt.",1.196959315,1.251672906,pilot_capito_8494
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Mit einem europäischen Masterplan Inklusion verbessern wir die Teilhabe von Menschen mit Behinderung am Arbeitsmarkt und in der Gesellschaft. Leicht:,"Wir haben einen Plan für Europa. Mit diesem Plan wollen wir, dass Menschen mit Behinderung besser arbeiten können. Auch sollen sie besser am Leben in der Gesellschaft teilnehmen.",Wir haben einen Plan für Europa. Dieser Plan heißt Inklusion. Er hilft Menschen mit Behinderung. Sie sollen besser arbeiten können und mehr in der Gesellschaft dabei sein.,1.489134809,1.339627918,pilot_capito_36546
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Wie jedoch viele der Kommentare bezeugen, ist die Frage, ob jedes Kind wirklich die Möglichkeit hat, dieses Recht auch auszuüben, eine komplett andere Angelegenheit. Leicht:","Viele Kommentare zeigen: Es ist eine andere Frage, ob jedes Kind wirklich dieses Recht nutzen kann.","Viele Kommentare zeigen, dass nicht jedes Kind sein Recht nutzen kann. Ob jedes Kind das wirklich kann, ist eine andere Frage.",1.26806128,1.454688003,pilot_capito_27093
"Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: 83 % der befragten Bevölkerung ab 60 Jahren hat Zugang zu einem Auto, die meisten davon fahren selbst.",83 % von den Menschen über 60 Jahren haben ein Auto. Die meisten fahren selbst.,83 % der Menschen ab 60 Jahren haben ein Auto. Die meisten fahren selber.,1.228746022,1.324046363,pilot_capito_9599
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Persönliche Assistentinnen und Assistenten helfen uns beim Einkaufen, Kochen, Blumen gießen, auf der Toilette, am Weg zur Arbeit, in der Freizeit, beim Sport.","Helferinnen und Helfer unterstützen uns beim Einkaufen, Kochen, Blumen gießen, auf der Toilette, beim Weg zur Arbeit, in der Freizeit und beim Sport.","Helferinnen und Helfer unterstützen uns beim Einkaufen, Kochen, Blumen gießen, auf der Toilette, zur Arbeit gehen, in der Freizeit und beim Sport.",1.164244295,1.102955359,pilot_capito_63496
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Glaubst du wirklich, dass das Christkind gerade auf dich gewartet hat? ","Glaubst du, dass das Christkind auf dich gewartet hat?","Denkst du, dass das Christkind auf dich gewartet hat?",1.21425216,1.073652914,pilot_capito_38115
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Als Hilfsorganisation der Katholischen Kirche setzt sich die Caritas in vielfältiger Weise für die Betroffenen ein.",Die Caritas hilft Menschen auf viele Arten. Sie gehört zur Katholischen Kirche.,Die Caritas hilft vielen Menschen. Sie gehört zur Katholischen Kirche.,1.167463987,1.1230709,pilot_capito_34850
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Halten Sie sich an die Richtlinien des Buches ""Leichte Sprache: das Regelbuch"" von Christiane Maaß aus dem Jahr 2015. Geben Sie Ihre Vereinfachung ohne weiteren Metakommentar an. Komplex: Dabei kann es sich um Schulungen, Seminare oder andere zur Verfügung gestellte Materialien handeln, die verschiedene Themenfelder der Cyber-Sicherheit abdecken. Leicht:","Es gibt Schulungen, Seminare und andere Materialien.  
Diese helfen bei verschiedenen Themen zur Cyber-Sicherheit.","Es gibt Schulungen, Seminare oder andere Materialien. Diese helfen, Cyber-Sicherheit besser zu verstehen.",1.467771759,1.385065334,pilot_capito_5914
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Nachdem wir die Teilnehmerinnen und Teilnehmer unserer Arbeitsgruppe begrüßt haben, folgte eine kurze Vorstellungsrunde. Leicht:","Nachdem wir alle in der Gruppe begrüßt haben, haben sich alle kurz vorgestellt.","Nachdem wir die Leute in unserer Arbeitsgruppe begrüßt haben, hat sich jeder kurz vorgestellt.",1.332570333,1.403193279,pilot_capito_5213
Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Aus dem ehemaligen Bauerndorf hat sich im Laufe der Zeit ein Industrie- und Gewerbeort entwickelt. Leicht:,Früher war das Dorf ein Bauerndorf. Jetzt gibt es dort viele Fabriken und Geschäfte.,Früher war das Dorf klein und die Leute waren Bauern. Jetzt gibt es dort viele Fabriken und Geschäfte.,1.122357028,1.441802496,pilot_capito_34934
"Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Identifikation 10.1 Ich arbeite gerne für meine Filiale // Abteilung 10.2 Wenn jemand schlecht über meine Filiale // Abteilung spricht, dann nehme ich mir das zu Herzen. 10.3 Ich bin stolz darauf, für das Unternehmen zu arbeiten.","Ich arbeite gern in meiner Filiale oder Abteilung. Wenn jemand schlecht darüber spricht, macht mich das traurig. Ich bin stolz darauf, für die Firma zu arbeiten.","Ich arbeite gerne in meiner Abteilung. Wenn jemand etwas Schlechtes über meine Abteilung sagt, macht mich das traurig. Ich bin stolz darauf, für die Firma zu arbeiten.",1.181332901,1.155251236,pilot_capito_55388
Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: a. Paternalistische Haltungen haben dramatische Auswirkungen auf die Einholung von Einwilligungen von Menschen mit Behinderungen.,"Paternalistische Haltungen können große Probleme machen, wenn man Menschen mit Behinderungen um Erlaubnis fragt.","Paternalistische Haltungen machen es schwer für Menschen mit Behinderungen, ihre Zustimmung zu geben.",1.415376176,1.179423468,pilot_capito_61456
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Die Wörter in Ihrer Vereinfachung sollten kurz, beschreibend, häufig verwendet, alltagsnah und im Kontext vertraut sein. Komplex: Dies führt oft zu großer Verunsicherung bei den Betroffenen - wohin muss ich mich wenden, wenn ich dieses oder jenes brauche? Leicht:","Das macht oft Angst. Die Menschen wissen nicht, wohin sie gehen sollen, wenn sie Hilfe brauchen.","Das macht die Leute oft unsicher - wen kann ich fragen, wenn ich etwas brauche?",1.361757239,1.634255249,pilot_capito_34825
